"Filename","Segment","F1","F2","word_status","syllable_status","morph","vowel"
"AQLAN-ourintelligence","ɑ22r",525.9684912,1030.030117,"emphatic","emphatic","root","ɑ"
"AQLAN-ourintelligence","æ22s",608.0826403,1304.136912,"emphatic","emphatic","suffix","æ"
"BEAQL-withoutintelligence","ɛ22p",486.7333504,2043.126947,"emphatic","emphatic","prefix","ɛ"
"BEAQL-withoutintelligence","ɑ22r",624.0572097,1180.402488,"emphatic","emphatic","root","ɑ"
"BEAQL2","ɛ22p",503.9352098,2024.842976,"emphatic","emphatic","prefix","ɛ"
"BEAQL2","ɑ22r",619.145831,1142.525153,"emphatic","emphatic","root","ɑ"
"KUDAQL-eachintelligence","ʉ22p",381.6490959,1867.161159,"emphatic","emphatic","prefix","ʉ"
"KUDAQL-eachintelligence","ɑ22r",606.6351026,1120.684669,"emphatic","emphatic","root","ɑ"
"XAAQL-anintelligence","æ22p",801.1349119,1434.928964,"emphatic","emphatic","prefix","æ"
"XAAQL-anintelligence","ɑ22r",587.6427278,1144.419914,"emphatic","emphatic","root","ɑ"
"aqlan-ourfoot","æ11r",722.7185726,1680.362531,"plain","plain","root","æ"
"aqlan-ourfoot","æ11s",670.3997169,1863.864241,"plain","plain","suffix","æ"
"aqlav-herfoot","æ11r",713.7159121,1665.918324,"plain","plain","root","æ"
"aqlav-herfoot","æ11s",671.0629563,1673.413631,"plain","plain","suffix","æ"
"aqlax-yourfoot-female","æ22r",689.8046011,1783.893048,"emphatic","emphatic","root","æ"
"aqlax-yourfoot-female","æ22s",688.9661545,1683.708676,"emphatic","emphatic","suffix","æ"
"aqlew-hisfoot","æ11r",841.7469707,1728.061094,"plain","plain","root","æ"
"aqlew-hisfoot","ɛ11s",511.8375693,2060.772631,"plain","plain","suffix","ɛ"
"aqli-myfoot","æ11r",736.8880906,1642.665441,"plain","plain","root","æ"
"aqli-myfoot","i11s",338.2001926,2478.013661,"plain","plain","suffix","i"
"aqlox-yourfoot-male","æ11r",756.460993,1731.535169,"plain","plain","root","æ"
"aqlox-yourfoot-male","ø11s",473.847693,1403.624887,"plain","plain","suffix","ø"
"aqlu-theirfoot","æ11r",825.8597368,1726.021108,"plain","plain","root","æ"
"aqlu-theirfoot","ʉ11s",352.3937767,1621.349548,"plain","plain","suffix","ʉ"
"aqlu-theirfoot","æ11r",858.9113319,1786.842931,"plain","plain","root","æ"
"aqlu-theirfoot","ʉ11s",358.5267813,1608.173299,"plain","plain","suffix","ʉ"
"beaqla-withoutfoot","ɛ11p",556.6244052,2043.788859,"plain","plain","prefix","ɛ"
"beaqla-withoutfoot","æ11r",766.0559459,1649.979896,"plain","plain","root","æ"
"beaqla-withoutfoot","ɑ11r",586.6037238,1158.67865,"plain","plain","root","ɑ"
"heyVÂNAW-heranimal_beast","ɛj13r",412.3051488,2309.732411,"mixed","mixed","root","ɛ"
"heyVÂNAW-heranimal_beast","ɑ33r",560.6520794,1132.77529,"mixed","mixed","root","ɑ"
