Filename,Segment,F1,F2
AMRÂ-wool,æ22,587.1443151,1252.456466
AMRÂ-wool,ɑ22,599.8204049,1062.28998
AMRÂ2_s1,æ22,784.8575529,1359.472487
AMRÂ2_s1,ɑ22,681.4893484,1374.261201
AMRÂ3_s1,æ22,793.6816424,1362.854022
AMRÂ3_s1,ɑ22,576.6404977,1121.909688
BASTAXÂNÂ-placeofrefuge_s1,æ22,545.9980849,1368.80224
BASTAXÂNÂ-placeofrefuge_s1,æ22,631.4238068,1389.321961
BASTAXÂNÂ-placeofrefuge_s1,ɑ22,474.620987,1183.102685
BASTAXÂNÂ-placeofrefuge_s1,ɑ22,413.1501353,1261.701485
BATOLE2,æ22,650.6339503,1299.131832
BATOLE2,ø22,415.4922217,920.0896868
BATOLE2,ɛ22,520.07601,2010.407354
BATOLE_s1,æ22,623.1097598,1553.124181
BATOLE_s1,ø22,461.5570432,945.5332609
BATOLE_s1,ɛ22,471.2922019,2017.659769
BUZ-ice,ʉ22,299.6134174,806.1537941
BÂLI-mychild_s1,ɑ22,543.3059585,993.4104551
BÂLI-mychild_s1,i22,333.2139829,2556.71167
BĖLWÂNE-pockets_s1,ə22,487.0356696,1151.591198
BĖLWÂNE-pockets_s1,æ22,687.5060034,1291.652239
BĖLWÂNE-pockets_s1,ɛ22,442.2447747,2337.422466
BĖSLÂ-onion_s1,ə22,430.5005948,1346.46408
BĖSLÂ-onion_s1,ɑ22,626.3106138,1198.742897
DOLČÂ-pail_bucket_s1,ø22,392.3430091,865.3040033
DOLČÂ-pail_bucket_s1,ɑ22,629.6506293,1353.588357
DONQĖZ_s1,ø22,371.3568588,958.2299276
DONQĖZ_s1,ə22,420.8022976,1296.312476
DUMÂN-blizzard_s1,ʉ22,394.5794164,1207.472906
DUMÂN-blizzard_s1,ɑ22,501.7777445,1134.923406
DUSÂX-prison_s1,ʉ22,333.8489714,1598.823305
DUSÂX-prison_s1,ɑ22,626.8414806,1225.392288
DÂNJI-dripping_s1,ɑ22,429.1561971,1405.097713
DÂNJI-dripping_s1,i22,333.7028343,2447.834233
DĒBITÂ-offering_s1,ē22,450.6579952,1324.895025
DĒBITÂ-offering_s1,i22,329.1635164,2566.746634
DĒBITÂ-offering_s1,ɑ22,557.308637,1151.880198
DĒBITÂ2_s1,ē22,451.2607218,1463.637655
DĒBITÂ2_s1,i22,302.7903042,2337.31603
DĒBITÂ2_s1,ɑ22,569.5133744,1293.109733
DĒRELE-hescattered_s1,ē22,456.5937325,1372.781454
DĒRELE-hescattered_s1,ɛ22,534.5554475,1977.96641
DĒRELE-hescattered_s1,ɛ22,578.5779686,1685.640622
DĒRELE-hescattered_s1,ə22,492.3425643,1642.299005
DĒRELE-hescattered_s1,ɛ22,540.7256025,1902.014081
DĒRELE-hescattered_s1,ɛ22,612.3656609,1774.474421
EXTIÂR-old_s1,ɛ22,551.5491068,1683.049177
