syllable,word,vowel_IPA,preceding_sound,following_sound,word_status,syllable_status,stressed,syllable_position,n_syllables,intrusive_v,p1.notes,p1.additional notes,p2.notes 
MĖ,MĖSALÂ,ė,M,S,emphatic,emphatic,n,initial ,3,,emphatic?,,
SA,MĖSALÂ,æ,S,L,emphatic,emphatic,y,medial ,3,,emphatic?,,
LÂ,MĖSALÂ,ɑ,L,0,emphatic,emphatic,n,final,3,,emphatic?,,
am,amrâ,æ,0,m,plain,plain,n,initial,2,,,,
râ,amrâ,ɑ,r,0,plain,plain,y,final,2,,,,
AM,AMRÂ,æ,0,M,emphatic,emphatic,n,initial,2,,,,
RÂ,AMRÂ,ɑ,R,0,emphatic,emphatic,y,final,2,,,ɑ or ɒ?,
BÂ,BÂLI,ɑ,B,L,emphatic,emphatic,n,initial,2,,emphatic?,,
LI,BÂLI, i,L,0,emphatic,emphatic,y,final,2,,emphatic?,,
ba,bali,æ,b,l,plain,plain,n,initial,2,,emphatic?,,
li,bali,i,l,0,plain,plain,y,final,2,,emphatic?,,
bax,baxtâ,æ,b,x,plain,plain,n,initial,2,,,,
tâ,baxtâ,ɑ,t,0,plain,plain,y,final,2,,,,
be,belâ,ɛ,b,l,plain,plain,n,initial,2,,,,
lâ,belâ,ɑ,l,0,plain,plain,y,final,2,,,,
BUZ,BUZ,ʉ,B,Z,emphatic,emphatic,y,initial,1,,,,
buz,buz,ʉ,b,z,plain,plain,y,initial,1,,,,
dəm,dėmmâ,ė,d,m,plain,plain,n,initial,2,,,,
mɑ,dėmmâ,ɑ,m,o,plain,plain,y,final,2,,,,
go,gori,ø,g,r,plain,plain,n,initial,2,,,,
ri,gori,i,r,0,plain,plain,y,final,2,,,,
GO,GORI,ø,G,R,emphatic,emphatic,n,initial,2,,,,
RI,GORI,i,R,0,emphatic,emphatic,y,final,2,,,,
MA,MALÂ,æ,M,L,emphatic,emphatic,n,initial,2,,emphatic?,,
LÂ,MALÂ,ɑ,L,0,emphatic,emphatic,y,final,2,,emphatic?,,
ma,maNA,æ,m,N,mixed,plain,n,initial,2,,,,
NÂ,maNA,ɑ,N,0,mixed,mixed,y,final,2,,,,
MRE,MRELE,ɛ,R,0,emphatic,emphatic,y,initial ,2,y,,,
LE,MRELE,ɛ,L,0,emphatic,emphatic,n,final,2,,,,
mre,mērele,ɛ,r,l,plain,plain,n,initial,3,y,,,
le,mērele,ɛ,l,0,plain,plain,n,final,3,,,,
šo,šobâ,ø,š,b,plain,plain,n,initial,2,,,,
bâ,šobâ,ɑ,b,0,plain,plain,y,final,2,,,,
SO,SOMÂ,ø,S,M,emphatic,emphatic,n,initial,2,,,,
MÂ,SOMÂ,ɑ,M,0,emphatic,emphatic,y,final,2,,,,
TĖM,TĖMMⱭ,ė,T,M,emphatic,emphatic,n,initial,2,,,,
MÂ,TĖMMⱭ,ɑ,M,0,emphatic,emphatic,y,final,2,,,,
TO,TORE,ø,T,R,emphatic,emphatic,n,initial,2,,,,
RE,TORE,ɛ,R,0,emphatic,emphatic,y,final,2,,,,
to,tore,ø,t,r,plain,plain,n,initial,2,,,,
re,tore,ɛ,r,0,plain,plain,y,final,2,,,,
ba,bamâ,æ,b,m,plain,plain,n,initial,2,,empahtic?,,
mâ,bamâ,ɑ,m,0,plain,plain,y,final,2,,emphatic?,,
DĖQ,DĖQNÂ,ė,D,Q,emphatic,emphatic,n,initial ,2,,initial vowel shwua? ,,
NÂ ,DĖQNÂ,ɑ,N,0,emphatic,emphatic,y,final ,2,,initial vowel shwua? ,,
di,diNÂR,i,d,N,plain,plain,n,initial ,2,,emphatic?,,
NÂR,diNÂR,ɑ,N,R,mixed,plain,y,final ,2,,emphatic?,,
ės,ėsteKAN,ė,0,s,mixed,plain,n,initial ,3,,emphatic?,,
te,ėsteKAN,ɛ,t,K,mixed,plain,n,medial ,3,,emphatic?,,
KÂN,ėsteKAN,ɑ,K,N,mixed,mixed,y,final ,3,,emphatic?,,
EX,EXTIÂR,ɛ,0,X,emphatic,emphatic,n,initial,3,,emphatic?,/x/ sounds like [χ],
TI,EXTIÂR,i,T,Â,emphatic,emphatic,n,medial,3,,emphatic?,,
ÂR,EXTIÂR,ɑ,I,R,emphatic,emphatic,y,final,3,,emphatic?,,
fah,fahlâ,æ,F,H,plain,plain,n,initial ,2,,emphatic? ,sounds plain,
lâ,fahlâ,ɑ,L,0,plain,plain,y,final ,2,,emphatic? ,,
fėn,fėnJÂN,ė,f,n,mixed,plain,n,initial ,2,,mixed? ,syllabic /n/??,
JÂN,fėnJÂN,ɑ,J,N,mixed,mixed,y,final ,2,,mixed? ,,
i,iJÂZÂ,i,0,J,mixed,plain,n,initial ,3,,mixed? ,"if the /i/ doesnt really change, then how do we know this is mixed? ",
JÂ,iJÂZÂ,ɑ,J,Z,mixed,mixed,n,medial ,3,,mixed? ,,
ZÂ,iJÂZÂ,ɑ,Z,0,mixed,mixed,y,final ,3,,mixed? ,,
i,ixalâ,i,0,x,plain,plain,n,initial ,3,,mixed?,sounds like a good example of a plain â,
xa,ixalâ,æ,x,l,plain,plain,n,medial ,3,,mixed?,,
lâ,ixalâ,ɑ,l,0,plain,plain,y,final ,3,,mixed?,,
KA,KALO ,ɑ,K,L,emphatic ,emphatic ,n,initial ,2,,emphatic?,is the /æ/ emphatic? ,
LO,KALO ,ø,L,0,emphatic ,emphatic ,y,final ,2,,emphatic?,,
MĖ,MĖSALÂ,ė,M,S,emphatic ,emphatic ,n,initial ,3,,empahtic?,/æ/ does not sound emphatic,
SA,MĖSALÂ,æ,S,L,emphatic ,emphatic ,n,medial ,3,,empahtic?,,
LÂ,MĖSALÂ,ɑ,L,0,emphatic ,emphatic ,y,final ,3,,empahtic?,,
MĖ,MĖRÂD,ė,M,R,emphatic ,emphatic ,n,initial ,2,y,emphatic?,,
RÂD,MURÂD,ɑ,R,D,emphatic ,emphatic ,y,final ,2,,emphatic?,,
ni,nigaRÂN,i,n,g,mixed,plain,n,initial ,3,,mixed?,sounds like the emphasis is starting on the 2nd syllable ,
ga,nigaRÂN,æ,g,R,mixed,plain,n,medial ,3,,mixed?,,
RÂN,nigaRÂN,ɑ,R,N,mixed,mixed,y,final,3,,mixed?,,
RAB,RABTÂ,æ,R,B,emphatic,emphatic,n,initial ,2,,emphatic?,,
TÂ,RABTÂ,ɑ,T,0,emphatic,emphatic,y,final ,2,,emphatic?,,
xa,xalâ,æ,x,l,plain ,plain ,n,initial ,2,,plain? ,i feel like this is a clear example of a plain word,
lâ,xalâ,ɑ,l,0,plain ,plain ,y,final ,2,,plain? ,,
Â,ÂRÂ,ɑ,0,R,emphatic,emphatic,n,initial ,2,,emphatic?,"kind of said like a question, don't use as example ",
RÂ,ÂRÂ,ɑ,R,0,emphatic,emphatic,y,final ,2,,emphatic?,,
BAS,BASTAXÂNÂ,æ,b,s,emphatic,emphatic,n,initial ,4,,plain?,/æ/ --> [ʌ] in the first two syllables?? ,
TA,BASTAXÂNÂ,æ,t,x,emphatic,emphatic,n,medial ,4,,plain?,,
XÂ,BASTAXÂNÂ,ɑ,x,n,emphatic,emphatic,n,medial ,4,,plain?,,
NÂ,BASTAXÂNÂ,ɑ,n,0,emphatic,emphatic,y,final ,4,,plain?,,
BĖL,BĖLWÂNE,ė,B,L,emphatic,emphatic,n,initial ,3,,emphatic?,dark /l/? ,
WA,BĖLWÂNE,ɑ,W,N,emphatic,emphatic,n,medial,3,,emphatic?,/w/ sounds like [ʋ]  ,
NE,BĖLWÂNE,e,N,0,emphatic,emphatic,y,final ,3,,emphatic?,,
BĖS,BĖSLÂ,ė,B,S,emphatic,emphatic,n,initial ,2,,emphatic? ,,
LÂ,BĖSLÂ,ɑ,L,0,emphatic,emphatic,y,final ,2,,emphatic? ,final [ɑ] sounds very backed,
ri,riHÂN,i,r,H,mixed,plain,n,initial ,2,,mixed? ,,
HÂN,riHÂN,ɑ,H,N,mixed,mixed,y,final ,2,,mixed? ,,
TE,TENÂ,e,T,N,emphatic,emphatic,n,initial ,2,,emphatic? ,,
NÂ,TENÂ,ɑ,N,0,emphatic,emphatic,y,final ,2,,emphatic? ,,
a,arâ,æ,0,r,plain,plain,n,initial,2,,,,
râ,arâ,ɑ,r,0,plain,plain,y,final,2,,,,
ax,axni,æ,0,x,plain,plain,n,initial,2,,,/æ/ does not turn into [ʌ] like khan said ,
ni,axni,i,n,0,plain,plain,y,final,2,,,,
bas,bastâ,æ,b,s,plain,plain,n,initial,2,,,,
tâ,bastâ,ɑ,t,0,plain,plain,y,final,2,,,,
BA,BATOLE,æ,B,T,emphatic,emphatic,n,initial ,3,,,,
TO,BATOLE,ø,T,L,emphatic,emphatic,n,medial,3,,,,
LE,BATOLE,e,L,0,emphatic,emphatic,y,final,3,,,,
bla,blane,æ,l,n,plain,plain,n,initial,2,,,,
ne,blane,e,n,0,plain,plain,y,final,2,,,,
či,čiBÂN,i,č,B,mixed,plain,n,initial,2,,,,
BÂN,čiBÂN,ɑ,B,N,mixed,mixed,y,final,2,,,,
DÂN,DÂN,ɑ,D,N,emphatic,emphatic,n,initial ,2,,,could actually be mixed,
