Filename,Segment,F2,vowel,speaker,stress
AHRAH,ah22,1149.701552,ɑ,s1,n
AHRAH,ah22,1174.652684,ɑ,s1,y
AMRAH2,a22,1359.472487,æ,s1,n
AMRAH2,ah22,1374.261201,ɑ,s1,y
AMRAH3,a22,1278.342258,æ,s1,n
AMRAH3,ah22,1420.886284,ɑ,s1,y
BAHLI,ah22,993.4104551,ɑ,s1,n
BAHLI,i22,2530.520619,i,s1,y
BASTAXAHNAH,a11,1546.667434,æ,s1,n
BASTAXAHNAH,a11,1389.321961,æ,s1,n
BASTAXAHNAH,ah11,1183.102685,ɑ,s1,n
BASTAXAHNAH,ah11,1261.701485,ɑ,s1,y
BATOLE,a22,1553.124181,æ,s1,n
BATOLE,o22,950.963654,ø,s1,n
BATOLE,e22,2026.688558,ɛ,s1,y
BATOLE2,ah22,1633.194975,ɑ,s1,n
BATOLE2,o22,920.9171476,ø,s1,n
BATOLE2,e22,2108.181494,ɛ,s1,y
BATOLE3,a22,1548.448387,æ,s1,n
BATOLE3,o22,959.0647022,ø,s1,n
BATOLE3,e22,1993.781516,ɛ,s1,y
BEXLWANE,ex22,1089.914201,ə,s1,n
BEXLWANE,a22,1327.253824,æ,s1,n
BEXLWANE,e22,2337.422466,ɛ,s1,y
BEXLWANE2,ex22,1089.914201,ə,s1,n
BEXLWANE2,ah22,1327.253824,ɑ,s1,n
BEXLWANE2,e22,2337.422466,ɛ,s1,y
BEXSLAH,e22,1346.46408,ɛ,s1,n
BEXSLAH,ah22,1198.742897,ɑ,s1,y
BUZ,u22,1152.259359,y,s1,y
BXSLAH,e22,1346.46408,ɛ,s1,n
BXSLAH,ah22,1198.742897,ɑ,s1,y
DAHNJI,ah22,1315.705657,ɑ,s1,n
DAHNJI,i22,2447.834233,i,s1,y
DOLCHAH,o22,851.1689764,ø,s1,n
DOLCHAH,ah22,1353.588357,ɑ,s1,y
DONQEXZ,o22,958.2299276,ø,s1,n
DONQEXZ,ex22,1296.312476,ə,s1,y
DUMAHN,u22,1207.472906,y,s1,n
DUMAHN,ah22,1134.923406,ɑ,s1,y
DUSAHX,u22,1598.823305,y,s1,n
DUSAHX,ah22,1249.477889,ɑ,s1,y
DXXBITAH,ex22,1373.721687,ə,s1,n
DXXBITAH,i22,2566.746634,i,s1,y
DXXBITAH,ah22,1320.095053,ɑ,s1,n
DXXBITAH2,ex22,1491.583453,ə,s1,y
DXXBITAH2,i22,2337.31603,i,s1,n
DXXBITAH2,ah22,1293.109733,ɑ,s1,y
DXXRELE2,e22,1867.624429,ɛ,s1,y
DXXRELE2,e22,1778.431912,ɛ,s1,n
DXXRELE2,e22,1892.240827,ɛ,s1,y
DXXRELE2,e22,1902.669415,ɛ,s1,n
DXXRELE3,e22,2130.570626,ɛ,s1,y
DXXRELE3,e22,2175.351795,ɛ,s1,n
EXDAHHAH,ex22,1566.904693,ə,s1,n
EXDAHHAH,ah22,1254.292331,ɑ,s1,n
EXDAHHAH,ah22,1106.561476,ɑ,s1,y
