Filename	Label	seg_Start	seg_End	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
AHQLAN-ourintelligence.mat	"ah22r"	520.277	652.001	691.115	688.821	695.928	688.639	2797.440	2336.577	2812.422	3211.515	
AHQLAN-ourintelligence.mat	"a22s"	897.865	1032.952	871.193	899.690	1064.458	658.902	2358.138	2267.400	2849.955	1978.552	
AHQLAV-herintelligence.mat	"ah22r"	450.652	574.679	759.448	696.183	815.151	763.037	2529.730	1411.064	2993.963	3141.975	
AHQLAV-herintelligence.mat	"a22s"	805.699	955.081	860.716	804.319	948.468	830.117	1613.624	1623.979	1846.493	1403.441	
AHQLAX-yourintelligence-female.mat	"ah22r"	467.054	599.647	793.040	807.269	779.102	792.554	3276.873	3212.455	3287.741	3328.150	
AHQLAX-yourintelligence-female.mat	"a22s"	833.355	955.688	917.751	819.954	952.141	985.029	1499.339	1238.920	1515.329	1739.539	
AHQLEW-hisintelligence.mat	"ah22r"	568.570	721.267	689.321	632.958	617.139	818.795	2449.267	2348.801	1522.527	3464.749	
AHQLEW-hisintelligence.mat	"e22s"	1008.085	1157.217	547.125	599.552	557.851	482.612	2219.350	2336.262	2258.196	2063.168	
AHQLI-myintelligence.mat	"ah22r"	218.752	349.545	831.521	740.909	900.814	852.314	2819.627	2277.159	2902.055	3238.154	
AHQLI-myintelligence.mat	"i22s"	620.473	721.371	439.186	635.340	349.019	322.767	2650.691	2743.681	2589.428	2614.500	
AHQLOX-yourintelligence-male.mat	"ah22r"	565.764	674.926	807.683	815.897	778.935	828.668	2905.408	3049.870	2504.068	3185.084	
AHQLOX-yourintelligence-male.mat	"o22s"	900.408	1016.728	614.505	619.060	649.290	574.825	3248.796	3222.809	3224.269	3297.695	
AHQLOX2.mat	"ah22r"	583.532	658.956	897.247	954.472	926.288	812.733	3222.242	3254.557	3231.194	3181.313	
AHQLOX2.mat	"o22s"	863.439	972.385	637.861	621.568	623.125	669.373	3163.937	2869.495	3264.770	3371.642	
AHQLU-theirintelligence.mat	"ah22r"	474.630	614.508	814.656	855.076	805.826	784.346	3036.034	3073.040	2868.162	3171.490	
AHQLU-theirintelligence.mat	"u22s"	901.503	1057.394	460.829	437.329	418.363	525.439	3014.740	2995.111	3024.732	3024.758	
BEAHQL-withoutintelligence.mat	"e22p"	345.821	429.797	492.568	440.017	474.154	562.393	2147.910	2137.399	2156.378	2148.987	
BEAHQL-withoutintelligence.mat	"ah22r"	485.780	664.684	790.601	771.684	794.089	803.131	1948.159	1227.171	1659.173	2915.547	
BEAHQL2.mat	"e22p"	354.341	439.533	511.612	447.101	492.454	593.372	2166.794	2128.829	2152.104	2217.268	
BEAHQL2.mat	"ah22r"	524.725	665.901	798.273	815.109	703.781	881.071	2132.897	1629.800	1507.002	3307.823	
KUDAHQL-eachintelligence.mat	"u22p"	156.747	242.433	541.055	783.760	398.934	433.761	2522.426	2711.869	2508.747	2342.202	
KUDAHQL-eachintelligence.mat	"ah22r"	454.186	610.784	897.237	870.844	935.268	885.934	3338.475	3451.584	3221.252	3344.155	
XAAHQL-anintelligence.mat	"a22p"	401.496	546.780	1033.624	1076.207	1102.818	924.681	1393.984	1330.505	1355.746	1495.884	
XAAHQL-anintelligence.mat	"ah22r"	653.957	790.905	863.715	810.668	967.612	820.011	2875.550	1960.845	3313.243	3385.581	
aqlan-ourfoot.mat	"a11r"	244.889	344.976	782.303	774.076	849.697	724.501	1912.123	1982.806	1941.926	1811.319	
aqlan-ourfoot.mat	"a11s"	587.193	754.438	934.693	758.289	1456.169	571.189	2480.536	2546.605	2841.593	2038.127	
aqlav-herfoot.mat	"a11r"	464.591	565.327	771.694	798.232	830.851	686.467	1965.548	2109.348	1861.272	1922.898	
aqlav-herfoot.mat	"a11s"	779.084	948.001	761.407	737.532	832.016	715.202	2051.897	2093.113	2140.217	1922.326	
aqlax-yourfoot-female.mat	"a22r"	401.403	515.851	827.860	1006.833	704.589	762.735	2097.931	2507.062	1912.840	1853.168	
aqlax-yourfoot-female.mat	"a22s"	762.749	837.332	742.059	676.635	755.889	795.442	1970.785	1936.590	1983.042	1994.551	
aqlew-hisfoot.mat	"a11r"	419.435	544.744	954.689	878.687	974.182	1011.720	1987.343	2030.955	1953.928	1976.716	
aqlew-hisfoot.mat	"e11s"	781.309	948.778	729.044	1115.133	560.112	505.529	2365.718	2608.684	2325.914	2161.969	
aqli-myfoot.mat	"a11r"	709.483	835.641	805.862	855.779	822.558	738.565	1971.643	1980.590	1993.948	1941.534	
aqli-myfoot.mat	"i11s"	1071.032	1204.882	415.144	589.446	343.005	308.361	2711.635	2759.942	2657.958	2712.464	
aqlox-yourfoot-male.mat	"a11r"	336.706	460.751	809.648	792.726	829.716	807.064	1972.847	2034.607	2009.629	1873.833	
aqlox-yourfoot-male.mat	"o11s"	683.352	788.705	538.149	503.653	570.373	541.681	1761.483	2002.499	1733.899	1544.199	
aqlu-theirfoot.mat	"a11r"	415.604	542.360	868.395	872.659	878.675	856.545	1876.625	1893.004	1892.358	1847.084	
aqlu-theirfoot.mat	"u11s"	795.871	970.160	369.176	398.123	377.996	331.583	2333.617	2375.495	2293.146	2330.918	
aqlu-theirfoot.mat	"a11r"	2263.070	2405.670	938.759	961.591	989.513	868.178	2002.438	1971.607	1970.398	2065.485	
