Filename	Label	seg_Start	seg_End	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
AHRAH.mat	"ah22"	922.705	1212.138	711.862	665.441	765.449	707.772	2048.380	1661.417	2499.967	2001.389	
AHRAH.mat	"ah22"	1320.675	1512.425	682.205	698.922	640.400	706.599	2226.815	1469.847	2024.161	3197.568	
AMRAH2.mat	"a22"	214.329	328.715	812.821	741.456	845.192	852.266	1284.133	1375.798	1308.027	1167.034	
AMRAH2.mat	"ah22"	677.410	764.123	828.205	740.123	808.677	933.115	2668.643	1785.726	3079.482	3169.881	
AMRAH3.mat	"a22"	166.271	318.826	870.328	1001.405	807.094	788.772	2462.145	2443.027	2331.090	2563.874	
AMRAH3.mat	"ah22"	679.274	827.342	863.530	763.150	755.321	1070.817	2887.532	2997.209	2480.351	3197.541	
BAHLI.mat	"ah22"	171.136	479.087	728.085	658.037	675.937	850.403	2888.494	2615.489	2873.743	3182.029	
BAHLI.mat	"i22"	626.903	774.719	796.716	347.899	316.628	1688.537	2889.464	2618.841	2681.615	3351.300	
BASTAXAHNAH.mat	"a22"	135.583	207.407	587.005	602.994	597.411	568.308	2003.115	1511.122	1737.335	2781.017	
BASTAXAHNAH.mat	"a22"	369.590	432.146	692.127	614.422	698.206	764.041	1393.830	1567.275	1432.075	1190.771	
BASTAXAHNAH.mat	"ah22"	576.953	722.918	451.522	617.707	343.106	388.637	1472.150	1914.074	1159.608	1324.370	
BASTAXAHNAH.mat	"ah22"	768.790	885.816	484.535	428.266	407.333	614.479	1559.287	1372.214	1287.907	2003.695	
BATOLE.mat	"a22"	275.692	355.103	720.534	790.787	705.654	664.382	1683.399	1481.756	1537.346	2022.377	
BATOLE.mat	"o22"	520.683	691.332	584.897	580.151	558.204	616.391	2948.581	2564.683	3072.733	3220.539	
BATOLE.mat	"e22"	834.947	922.806	654.288	546.524	471.088	938.248	2477.280	2308.688	2361.326	2754.781	
BATOLE2.mat	"ah22"	282.124	366.206	998.141	833.499	662.534	1473.088	2045.060	1361.746	1227.632	3499.427	
BATOLE2.mat	"o22"	541.377	715.379	645.165	581.307	606.299	746.825	3199.266	3219.864	3179.906	3196.317	
BATOLE2.mat	"e22"	859.057	982.844	754.390	540.018	477.568	1237.156	2532.730	2253.472	2348.271	2994.163	
BATOLE3.mat	"a22"	273.367	355.313	724.664	795.118	712.538	662.600	1675.330	1480.574	1534.339	2005.263	
BATOLE3.mat	"o22"	509.251	678.210	585.782	604.243	555.980	596.560	2838.902	2270.110	3041.365	3227.913	
BATOLE3.mat	"e22"	823.188	925.408	675.490	565.470	492.345	957.168	2465.193	2255.278	2372.902	2760.240	
BEXLWANE.mat	"ex22"	1118.223	1230.092	650.425	523.278	671.421	757.777	3100.704	2823.196	3225.251	3267.659	
BEXLWANE.mat	"a22"	1443.472	1611.276	763.572	1084.581	489.058	720.541	2084.679	2722.923	1420.735	2118.627	
BEXLWANE.mat	"e22"	1745.933	1832.943	368.307	303.677	434.536	370.183	2507.566	2428.551	2521.053	2572.359	
BEXLWANE2.mat	"ex22"	1118.223	1230.092	650.425	523.278	671.421	757.777	3100.704	2823.196	3225.251	3267.659	
BEXLWANE2.mat	"ah22"	1443.472	1611.276	763.572	1084.581	489.058	720.541	2084.679	2722.923	1420.735	2118.627	
BEXLWANE2.mat	"e22"	1745.933	1832.943	368.307	303.677	434.536	370.183	2507.566	2428.551	2521.053	2572.359	
BEXSLAH.mat	"e22"	241.426	287.974	648.601	619.100	632.112	686.313	2665.284	2116.773	3418.899	2633.360	
BEXSLAH.mat	"ah22"	626.488	754.224	775.241	763.760	723.787	837.606	3023.674	2770.075	3366.072	2949.572	
BUZ.mat	"u22"	650.808	869.943	444.536	472.374	493.614	367.662	2929.908	3053.881	2948.330	2786.306	
BXSLAH.mat	"e22"	241.426	287.974	648.601	619.100	632.112	686.313	2665.284	2116.773	3418.899	2633.360	
BXSLAH.mat	"ah22"	626.488	754.224	775.241	763.760	723.787	837.606	3023.674	2770.075	3366.072	2949.572	
DAHNJI.mat	"ah22"	808.761	933.521	863.564	804.148	1079.883	714.526	3002.392	2424.293	3392.987	3194.284	
DAHNJI.mat	"i22"	1149.323	1338.149	570.780	884.981	343.593	476.636	2811.389	2876.925	2727.195	2827.875	
DOLCHAH.mat	"o22"	350.835	488.150	523.292	541.419	526.195	502.550	3262.053	3207.675	3291.619	3288.441	
