Filename,Segment,F1,F2
heyVAHNAW-heranimal,ɑ33r,554.0767914,999.5781471
heyVAHNAW-heranimal,æ33s,661.4168959,1227.035062
heyVAHNAX-youranimalfemale,ɑ33r,553.0108189,1000.208101
heyVAHNAX-youranimalfemale,æ33s,651.1845844,1284.935132
heyVAHNEW-hisanimal,ɑ33r,558.3213833,1021.459587
heyVAHNEW-hisanimal,ɛ33s,481.2948557,1939.2228
heyVAHNI-myanimal,ɑ33r,529.9387141,1001.388416
heyVAHNI-myanimal,i33s,350.8957345,2191.948367
heyVAHNOX-youranimalmale,ɑ33r,548.8040579,984.6467143
heyVAHNOX-youranimalmale,ø33s,510.4020265,892.6482939
heyWAHNAN-ouranimal,ɑ33r,557.9056422,1032.035529
heyWAHNAN-ouranimal,æ33s,629.4968947,1285.080179
heyWAHNU-theiranimal,ɑ33r,540.819465,942.8460169
heyWAHNU-theiranimal,y33s,386.2278591,1046.262428
