Filename	Label	seg_Start	seg_End	A1c_mean	A1c_means001	A1c_means002	A1c_means003	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
AHQLAV-herintelligence.mat	"ah22r"	870.946	1098.423	-18.501	-21.620	-17.212	-16.836	674.969	670.930	685.755	669.529	1077.799	1389.692	925.749	912.055	
AHQLAV-herintelligence.mat	"a22s"	1423.283	1771.288	-23.313	-17.392	-23.539	-28.718	927.880	867.940	951.821	963.711	2160.890	2247.097	1821.026	2412.352	
AHQLAX-yourintelligencefemale.mat	"ah22r"	1243.914	1475.111	-18.159	-19.070	-16.505	-18.958	760.232	700.697	835.292	746.421	2367.344	2203.979	2906.470	2004.240	
AHQLAX-yourintelligencefemale.mat	"a22s"	1727.669	1880.963	-20.461	-19.024	-18.897	-23.218	837.406	805.322	852.801	856.685	1813.170	2483.935	1648.052	1315.023	
AHQLEW-hisintelligence.mat	"ah22r"	646.091	975.090	-17.946	-21.399	-15.389	-17.151	716.825	718.569	738.212	694.635	1080.776	1014.297	1023.131	1203.269	
AHQLEW-hisintelligence.mat	"e22s"	1264.805	1623.266	-19.132	-14.789	-16.894	-25.442	672.697	571.378	562.336	883.170	1976.678	1950.145	2009.353	1969.532	
AHQLI-myintelligence.mat	"a22r"	1477.140	1671.436	-20.959	-24.632	-20.159	-18.343	953.237	1001.408	1015.142	846.626	2180.378	2060.719	2368.981	2114.076	
AHQLI-myintelligence.mat	"i22s"	2009.306	2350.741	-11.048	-13.080	-7.096	-13.016	1514.017	509.835	2345.626	1696.058	2912.645	2474.184	3330.941	2935.765	
AHQLOX-yourintelligencemale.mat	"ah22r"	440.133	610.569	-19.664	-28.404	-12.594	-18.534	751.710	645.916	729.133	878.868	1946.586	1059.583	2072.136	2702.818	
AHQLOX-yourintelligencemale.mat	"o22s"	863.788	1022.862	-22.407	-17.198	-19.449	-29.864	663.140	660.734	615.773	714.089	2725.511	1849.036	3025.459	3306.305	
AHQLU-theirintelligence.mat	"ah22r"	1243.887	1506.457	-17.201	-20.624	-14.533	-16.605	750.229	794.030	765.609	690.866	2610.896	2788.735	2859.376	2187.497	
AHQLU-theirintelligence.mat	"u22s"	1817.315	2233.804	-14.587	-13.431	-13.976	-16.281	525.300	445.294	684.853	447.315	1895.269	1616.701	2440.330	1636.568	
AQLAN-ourintelligence.mat	"ah22r"	908.229	1140.699	-17.519	-22.076	-16.181	-14.540	764.731	731.111	808.411	755.532	2624.054	2381.156	2747.713	2748.806	
AQLAN-ourintelligence.mat	"ah22s"	1404.982	1686.394	-20.838	-16.023	-18.561	-27.747	869.912	873.444	847.693	892.547	2448.084	2371.393	2641.750	2347.930	
BEAHMRAH-withoutwool.mat	"e22p"	1042.774	1175.226	-7.879	-10.784	-5.418	-7.605	514.423	488.123	518.915	536.247	1914.212	1936.101	1926.422	1880.257	
BEAHMRAH-withoutwool.mat	"a22r"	1267.366	1434.371	-20.381	-24.435	-18.108	-18.814	733.242	783.204	755.640	660.673	1204.012	1170.582	1328.831	1108.374	
BEAHMRAH-withoutwool.mat	"ah22r"	1742.466	2004.490	-19.906	-13.412	-15.523	-30.486	769.541	665.370	757.570	888.352	1888.453	1330.933	1663.182	2693.902	
BEAQL-withoutintelligence.mat	"e22p"	1147.008	1284.468	-9.321	-18.228	-3.848	-6.180	535.524	476.612	490.935	639.375	1980.366	1917.873	2051.627	1973.143	
BEAQL-withoutintelligence.mat	"ah22r"	1396.934	1659.357	-18.554	-19.737	-17.083	-18.875	718.974	722.596	725.383	710.215	1851.782	1218.900	2570.408	1782.242	
BEBUZ-withoutice.mat	"e22p"	1240.140	1420.513	-7.027	-6.896	-4.520	-9.550	941.197	831.004	1112.080	870.072	2144.810	2197.546	2246.856	1992.855	
