Filename,Segment,F1,F2
AHRAH-periodinterval,ah22,577.2327717700072,1007.5856339785865
AHRAH-periodinterval,ah22,631.6787599824455,1090.1053352616188
AMRAH-wool,a22,658.5148949628099,1148.886975117777
AMRAH-wool,ah22,572.0955146271049,1039.2317947296897
BAHLI-mychild,ah22,551.1146484084509,972.4077105886822
BAHLI-mychild,i22,273.1331487904471,2160.628641034445
BASTAHXAHNAH-placeofrefuge,a22,692.9868635555104,1571.5191357105664
BASTAHXAHNAH-placeofrefuge,ah22,563.8313433952192,1106.6529223322154
BASTAHXAHNAH-placeofrefuge,ah22,598.516105778252,1046.519990956069
BASTAHXAHNAH-placeofrefuge,ah22,588.883779725078,1108.4657242157978
BATOLE-toempty,a22,648.2197427011785,1210.4007697761067
BATOLE-toempty,o22,400.4572478589923,910.7214513366813
BATOLE-toempty,e22,478.0498266193719,1851.8588072387258
BEXLWAHNE-pockets,ex22,497.33626133800846,1203.643678133232
BEXLWAHNE-pockets,a22,624.3688785977374,1225.8762991207655
BEXLWAHNE-pockets,e22,477.7489312132897,1946.0702977409433
BEXSLAH-onion,ex22,469.2071562949768,1390.2828304496245
BEXSLAH-onion,ah22,628.8086506746159,1048.9185445159599
BUZ-ice,u22,363.05279834359885,891.556054349298
CHAHLAH-ditch,ah22,570.8241824794976,998.1714774629963
CHAHLAH-ditch,ah22,575.2166017804268,1043.7529877999332
CHAHPAHR-postmail,ah22,591.5619791113071,1025.9333378536758
CHAHPAHR-postmail,ah22,586.319900716013,988.3499326231882
CHAHRAH-remedywayout,ah22,552.7355913166109,985.2165567913388
CHAHRAH-remedywayout,ah22,582.6669338176546,1077.1894690813717
CHAHRGUL-squarerectangular,ah22,569.115295572579,1016.2989673065586
CHAHRGUL-squarerectangular,u22,379.3347508980504,880.7208013272016
CHANGA-handfulpalmofthehand,a22,573.2026202431018,1650.8028010878484
CHANGA-handfulpalmofthehand,ah22,581.9513214796838,1065.5751560182296
CHEXQAH-verythinperson,ex22,416.0720048970956,1687.5837562137929
CHEXQAH-verythinperson,ah22,626.0850737661015,1030.5049908746828
CHIMAH-closedeye,i22,295.10439093145624,2177.907792491738
CHIMAH-closedeye,ah22,558.0956258627094,1023.8087473485448
DAHNJI-dripping,ah22,578.1449117170299,1094.9908938134467
DAHNJI-dripping,i22,299.34326879982814,2140.1404504556094
DOLCHAH-pailbucket,o22,445.1131824855942,942.6228109664293
DOLCHAH-pailbucket,ah22,618.080618601735,1075.8149274502493
DONQEXZ-pig,o22,424.6812221259292,827.3505652247475
DONQEXZ-pig,ex22,442.92562446511164,1381.7179074969952
DUMAHN-blizzard,u22,385.4166607047201,1292.7541896714447
DUMAHN-blizzard,ah22,564.3836558178549,1014.1981039899127
DUSAHX-prison,u22,389.8515239580331,1324.2658146252802
DUSAHX-prison,ah22,624.4502284294956,1072.8741980675222
DXXBITAH-offering,i22,312.20241299867513,2122.6659822606107
DXXBITAH-offering,ah22,703.4527509101832,1132.8010151463952
DXXRELE-hescattered,e22,464.29984108515396,1756.2948699872807
DXXRELE-hescattered,e22,589.492757156043,1808.1890608973179
EXDAHHAH-pretentiousness,ex22,418.3112568158005,1693.1336709610712
EXDAHHAH-pretentiousness,ah22,539.1494417014829,1219.8154153025025
EXDAHHAH-pretentiousness,ah22,597.199530186046,969.9574174690694
EXSHKAHP-cupboard,e22,414.4098816679919,1671.6172702171323
EXSHKAHP-cupboard,ah22,575.7125136124967,985.3916119096131
EXTIAHR-old,ex22,475.3874477486385,1561.9106293045058
EXTIAHR-old,i22,291.23204728008307,2084.2508990436727
EXTIAHR-old,ah22,563.9970351496629,994.5558787155887
FAHLAH-unqualifiedworker,ah22,560.9887637926189,942.5210807059213
FAHLAH-unqualifiedworker,ah22,571.5244364035209,1003.6921183794058
FERCHAH-brush,e22,420.02499561657856,1300.2011811840164
FERCHAH-brush,ah22,630.4634598359995,1037.7187247733707
FEXRCHAH-brush,ex22,463.79037992752654,1274.4793878709488
FEXRCHAH-brush,ah22,614.7079151906875,1065.0686537358024
GALAH-carpetbag,a22,657.6854616448072,1180.0535476950542
GALAH-carpetbag,ah22,576.2706985841647,1064.2681679249438
GAMARAH-thetalmud,a22,615.0572290698053,1216.6313855593921
GAMARAH-thetalmud,ah22,568.4520791342693,972.426579437115
GAMARAH-thetalmud,ah22,595.5498846577052,1134.820568920689
GANAH-soulbody,a22,615.4860938312968,1244.442260633507
GANAH-soulbody,ah22,563.3239118742913,1143.625865267789
GARE-roofceiling,a22,642.8740966837258,1222.1854221284277
GARE-roofceiling,e22,475.9560002452272,1872.0904373476183
GLALAH-string,a22,633.5833307609994,1168.9680175569733
GLALAH-string,ah22,573.2122143549132,1057.1274034780897
GORI-theywillenter,o22,402.936894136516,833.9320249294803
GORI-theywillenter,i22,301.0770950524616,2201.2195764932717
GULAHB-rosewater,u22,382.95121919760953,1100.7439579581335
GULAHB-rosewater,ah22,590.0750526300949,1055.7296629434777
HABRAH1-ink,a22,669.10413427315,1166.4420620611143
HABRAH1-ink,ah22,599.6248045396898,1056.3549347276528
HAHBRAH2-ink,a22,660.3041307638823,1171.9823269768135
HAHBRAH2-ink,ah22,583.0251808157407,1032.8364548273862
HESTAH-honor,e22,526.1654526895747,1867.6879738953194
HESTAH-honor,ah22,614.2697196795605,1110.0254920858004
JABAHRNAH-boastfulofpower,a22,581.0165674280111,1310.000612746759
JABAHRNAH-boastfulofpower,ah22,574.2100520794662,974.2598483902207
JABAHRNAH-boastfulofpower,ah22,603.0772768094222,1075.4840962538633
JABBAHRAH1-tyrant,a22,583.8651965832624,1318.535283662577
JABBAHRAH1-tyrant,ah22,552.3651784419013,976.373222336918
JABBAHRAH1-tyrant,ah22,581.5386738098714,1043.1965711859364
JAHBAHRAH2-tyrant,a22,574.7037910432723,1293.3841156954563
JAHBAHRAH2-tyrant,ah22,558.7327262412047,949.9409672800323
JAHBAHRAH2-tyrant,ah22,566.1458091262165,1045.273464972799
JAHDAH-widestreet,ah22,582.958477823418,1105.5285110025166
JAHDAH-widestreet,ah22,590.421444735937,1070.2579630780272
JAHDU-magic,ah22,548.3339099001472,1037.8670505399386
JAHDU-magic,u22,361.51882328138845,1031.6027244598308
JAHDUKAR-sorcererwitch,ah22,536.0072378140342,1094.9463516756887
JAHDUKAR-sorcererwitch,u22,347.8525884665525,1129.5806335332773
JAHDUKAR-sorcererwitch,ah22,579.1842927450227,1015.609288086074
JARAS-bell,a22,582.0948453360251,1569.2080512391472
JARAS-bell,a22,630.8116626426878,1505.6543240045871
JARUBTA-trialtestexperiment,a22,584.9390938536848,1364.3407910584212
JARUBTA-trialtestexperiment,ah22,595.4820906693926,1048.6665976184331
JAWAHIR-gems,a22,590.0870888751559,1338.7224919549465
JAWAHIR-gems,ah22,558.254776549422,976.6514591158852
JAWAHIR-gems,i22,367.0601550786028,1911.607699842884
JORE-urine,o22,418.215684723213,965.9174766768251
JORE-urine,e22,470.44208689800917,1791.6477889340222
KALO-bride,a22,664.1786034389534,1175.558264708057
KALO-bride,o22,464.28697362937527,912.4401704645629
KALO-bride,a22,659.0613911624621,1179.7801645049108
KALO-bride,o22,452.58981189601377,978.423194417553
KORULAH-blindness,o22,409.8255518285421,916.9504252771553
KORULAH-blindness,u22,356.1704970675341,977.2782745849195
