Filename,Segment,F1,F2
AMRÂ-wool,æ22,587.1443151,1252.456466
AMRÂ-wool,ɑ22,599.8204049,1062.28998
BATOLE-toempty,æ22,643.7417615,1305.456908
BATOLE-toempty,ø22,413.7159121,924.0417399
BATOLE-toempty,e22,509.5661533,2070.789527
BUZ-ice,ʉ22,299.6134174,806.1537941
GORI-theywillenter,øː22,384.3600417,834.2581531
GORI-theywillenter,i22,348.0203761,2451.570001
MRELE-hegrazed_pastured,e22,544.1358116,1864.004166
MRELE-hegrazed_pastured,e22,585.0650367,1919.862303
SOMA-fast_n__,øː22,427.5134167,931.1750439
SOMA-fast_n__,ɑ22,435.7283317,1022.306414
TORE-nets,ø22,468.7449953,993.2244414
TORE-nets,e22,510.0035712,1895.321755
amra-mayshesay,æ11,668.480735,1481.185514
amra-mayshesay,ɑ11,595.3058492,1152.19548
buz-spill_pour,ʉ11,318.2796789,1931.106149
gori-theywillmarry,øː11,369.0322825,1866.612227
gori-theywillmarry,i11,342.3799735,2479.932073
mrele-ithurts_aches,ė11,467.7132069,1819.38053
mrele-ithurts_aches,e11,503.8293652,2075.75035
mrele-ithurts_aches,e11,528.3907687,2020.860343
patole1-totwist,æ11,535.5740811,1885.016724
patole1-totwist,ø22,364.2970505,1734.895843
patole1-totwist,e22,435.0675106,2205.367088
tore-oxen,ø:11,350.0766322,1770.451598
tore-oxen,e11,422.079547,2240.183088
šoba-cough,øː11,404.5275849,1459.831147
šoba-cough,ɑ11,575.2292319,1076.039405
